rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,latitude,longitude
109,"Sitalpur, India",112,155,131,90,102,95,87,52,69,58,107,233,162,25.0525232,87.5519054314872
110,"Weinan, China",112,226,192,139,153,57,53,56,53,51,81,118,159,34.5169112,109.4643291
111,"Huanglongsi, China",111,206,157,160,164,71,67,50,51,62,108,113,123,29.041098,114.002551
112,"Shihezi, China",111,310,254,112,83,54,54,52,50,48,68,80,164,44.3017013,86.0775574
113,"Xibeijie, China",111,197,121,156,180,125,86,91,87,82,61,78,65,39.7442313,98.506344
114,"Basirhat, India",111,245,136,98,85,56,51,25,64,41,84,223,223,22.6611962,88.8660215
115,"Dhanbad, India",111,189,167,130,129,120,81,68,85,70,49,118,124,23.7952809,86.4309638
116,"Moradabad, India",111,111,97,116,115,104,93,70,90,78,117,164,178,28.879655300000003,78.80953353954959
117,"Narasannapeta, India",111,165,127,112,92,82,96,59,84,64,113,140,192,18.4150974,84.0446974
118,"Ponduru, India",111,166,127,113,92,82,96,59,84,64,113,140,191,18.362788,83.7767868
119,"Bhimunipatnam, India",110,166,128,113,93,83,97,59,85,64,114,137,181,17.890797900000003,83.45579236958764
120,"Chicacole, India",110,165,127,113,92,82,96,58,84,64,113,139,187,18.4089715,83.9038861
121,"Chipurupalle, India",110,165,126,112,92,82,95,58,84,63,113,140,189,18.3120723,83.5686458
122,"Gauripur, India",110,277,204,145,115,69,66,34,42,39,67,136,125,26.0865358,89.964662
123,"Al Jahra, Kuwait",110,92,98,84,88,143,143,104,135,130,115,92,99,29.365529350000003,47.28015686583791
124,"Dzuunharaa, Mongolia",110,279,227,79,56,32,30,27,25,31,71,186,280,,
125,"Donghua, China",110,167,116,387,133,44,43,43,46,30,62,99,149,35.2182869,106.6492871
126,"Heze, China",110,204,142,160,143,66,68,47,52,63,113,119,144,35.2477266,115.4464761
127,"Tula, Russia",110,18,16,12,19,15,56,145,390,262,357,14,14,54.1930321,37.61754
128,"Aligarh, India",109,141,111,96,104,105,121,88,71,59,97,167,150,27.8761073,78.13581531245276
129,"Bobbili, India",109,165,125,111,91,81,94,57,82,62,112,139,183,18.5748202,83.3522594
130,"Chikhli, India",109,200,214,129,85,64,55,46,51,54,146,127,132,20.7581399,73.0598983
131,"Dam Dam, India",109,238,131,95,84,55,50,24,66,41,87,220,220,23.42528015110731,73.0492695420818
132,"Hathras, India",109,119,119,102,115,117,134,95,67,50,93,156,146,27.5724324,78.11162088731544
133,"Ludhiana, India",109,150,121,91,94,96,85,64,77,70,100,164,197,30.9090157,75.851601
134,"Tonk, India",109,144,139,79,97,93,82,53,108,71,120,177,141,26.122266000000003,75.82386305157223
135,"Vishakhapatnam, India",109,168,127,116,94,83,97,58,83,61,114,135,171,,
136,"Panauti, Nepal",109,197,186,172,198,85,52,37,40,44,62,99,133,27.585045,85.516022
137,"Liaocheng, China",109,192,134,162,140,72,67,50,51,64,115,112,150,36.4441808,115.9642007
138,"Puyang, China",109,207,158,170,143,70,57,43,46,66,107,115,122,35.7631348,115.0234071
139,"Wuwei, China",109,172,102,188,165,106,92,83,69,65,54,118,95,37.928881,102.6359886
140,"Zijinglu, China",109,197,167,152,167,73,65,65,55,57,90,101,116,34.759886,113.0224664
141,"Handan, China",108,169,146,152,145,69,58,52,52,71,119,114,149,36.6107711,114.4857072
142,"Hebi, China",108,183,160,146,142,70,57,50,50,64,107,133,139,35.7494986,114.2912899
143,"Sizhan, China",108,140,135,181,177,98,60,64,64,72,88,97,121,45.7061,125.878
144,"Xian, China",108,222,199,132,147,53,51,53,51,49,65,114,156,38.1904931,116.1191021
145,"Xingtai, China",108,144,157,163,171,74,64,59,54,74,107,112,121,37.0616519,114.499746
146,"Khujand, Tajikistan",108,307,163,101,59,56,55,56,55,59,102,170,109,40.2844189,69.6191669
147,"Bhiwandi, India",108,178,168,134,108,78,65,57,45,58,144,113,151,19.3025562,73.0588072
148,"Jaipur, India",108,138,137,84,100,96,82,56,107,67,113,173,143,26.9154576,75.8189817
149,"Jalandhar, India",108,148,113,84,94,96,81,61,76,69,103,162,204,31.29223115,75.56788777097373
150,"Vizianagaram, India",108,165,125,111,90,81,95,56,82,62,112,137,180,18.1139259,83.3979562
151,"Dholka, India",107,124,150,122,112,105,83,68,65,71,134,145,104,22.726607,72.4411863
152,"Jaisalmer, India",107,116,123,87,89,82,88,107,109,80,102,161,137,26.9116615,70.9124888
153,"Shancheng, China",107,197,138,154,130,68,67,45,53,60,107,119,143,35.8981112,114.1775878
154,"Chernogorsk, Russia",107,221,288,100,39,17,13,9,13,23,83,186,289,53.828236,91.31321
155,"Dushanbe, Tajikistan",107,247,80,46,78,72,116,125,83,115,74,89,156,38.5762709,68.7863573
156,"Bhayandar, India",106,175,168,136,98,60,54,35,43,50,133,142,175,19.3102682,72.8530973
157,"Pune, India",106,142,167,113,68,40,79,116,134,134,134,56,88,18.5213738,73.8545071
158,"Kathmandu, Nepal",106,195,189,185,199,88,50,30,30,34,52,86,128,27.708317,85.3205817
159,"Qingnian, China",106,181,131,157,141,73,67,51,50,64,115,108,128,33.5717968,114.2523348
160,"Yucheng, China",106,174,124,159,145,76,67,53,51,64,99,111,152,34.369154,115.902169
161,"Dezhou, China",105,163,125,161,147,75,67,55,51,66,112,112,130,37.4363704,116.3534091
162,"Jiangguanchi, China",105,220,156,145,148,60,54,38,46,51,109,106,126,34.0006,113.869
163,"Luohe, China",105,222,147,147,147,62,58,42,49,48,98,108,132,33.5826865,114.0107357
164,"Luoyang, China",105,178,184,143,133,63,56,52,56,63,94,109,123,34.6196539,112.4477046
165,"Pingdingshan, China",105,198,161,141,137,64,57,47,55,59,98,106,138,33.7374744,113.2981436
166,"Shizuishan, China",105,149,103,168,178,99,64,69,60,59,72,100,134,38.9868531,106.3771974
167,"Tanbei, China",105,180,165,152,150,67,65,53,60,65,78,115,105,23.8555807,111.8878433
168,"Yuci, China",105,130,168,168,141,77,68,60,58,67,85,93,140,37.6975589,112.7010921
169,"Zhengzhou, China",105,193,161,151,161,66,62,52,52,55,79,101,123,34.7533392,113.6599983
170,"Zhoukou, China",105,224,145,145,146,65,59,42,48,53,113,104,121,33.808333,114.911944
171,"Navsari, India",105,199,205,123,81,66,56,47,51,50,133,124,129,20.952407,72.9323831
172,"Phonsavan, Laos",105,144,198,246,210,89,47,93,94,-,-,79,63,18.3294965,103.8974915
173,"Louangphabang, Laos",104,97,182,294,375,56,27,26,25,24,29,53,56,20.2115415,102.612684
174,"Baoding, China",104,119,156,178,155,79,57,45,47,71,123,108,109,38.8579735,115.490696
175,"Taiyuan, China",104,125,169,159,139,79,66,58,59,69,92,95,133,37.870009,112.5452739
176,"Leling, China",103,157,134,154,141,79,67,54,49,63,98,105,130,37.7289733,117.2135729
177,"Wuhai, China",103,142,105,154,168,100,67,79,69,74,66,91,116,39.6533321,106.7893379
178,"Yakou, China",103,232,152,150,146,62,58,47,53,52,98,94,87,33.296486,113.523514
179,"Barasat, India",103,227,122,86,72,50,48,29,61,42,93,201,202,22.7191072,88.4826229
180,"Mathura, India",103,106,101,90,105,106,127,87,67,52,94,149,146,27.4955539,77.6855554
181,"Fyzabad, India",102,159,103,67,69,68,68,50,70,61,126,224,157,,
182,"Gwalior, India",102,206,115,77,78,69,60,35,56,49,116,215,150,26.2037247,78.1573628
183,"Ulaanbaatar, Mongolia",102,176,137,108,87,69,64,58,62,92,112,107,147,47.9184676,106.9177016
184,"Binzhou, China",102,152,138,154,132,81,62,53,49,65,91,105,145,37.3821206,117.9647262
185,"Dongta, China",102,170,80,329,137,69,55,58,48,30,41,101,106,29.0756,113.778
186,"Feicheng, China",102,170,129,148,129,66,63,48,51,64,95,107,148,36.1841443,116.7653466
187,"Hengshui, China",102,155,125,155,138,77,63,57,50,68,115,104,118,37.7364305,115.6677229
188,"Nangandao, China",102,180,151,149,138,66,52,41,44,57,107,117,123,,
189,"Sanmenxia, China",102,175,176,136,147,61,54,54,57,52,71,104,131,34.7678842,111.1908398
190,"Shijiazhuang, China",102,133,162,164,153,77,60,56,56,74,101,90,101,38.0429742,114.5088385
191,"Xiangyang, China",102,213,165,142,121,66,47,38,45,43,78,123,142,32.010998,112.1163785
192,"Zaozhuang, China",102,168,113,150,116,71,65,47,55,71,99,122,150,34.8108822,117.3178922
193,"Jiaozuo, China",101,172,165,146,137,63,61,54,55,58,80,96,125,35.2075729,113.2533977
194,"Jiayuguan, China",101,171,116,143,168,115,74,84,77,71,52,71,70,39.7722294,98.2885388
195,"Shangqiu, China",101,208,134,156,144,60,65,43,54,61,116,86,79,34.4168215,115.6507447
196,"Zibo, China",101,160,130,151,129,78,63,52,53,67,79,103,144,36.8129564,118.0488401
197,"Ankleshwar, India",101,151,183,115,82,64,57,50,50,56,138,141,122,21.6293206,72.9945103
